Bedrooms,Area,Bathrooms,ParkingSpaces,Age,Price,Location,price
4,4430,1,0,49,802921,Kolkata,467236.8914657576
0,3021,3,0,31,881441,Kolkata,376970.22395424073
4,2924,2,1,50,805563,Kolkata,417923.9484056637
2,3768,0,0,15,329096,Kolkata,433537.4806147004
1,3407,2,0,52,895252,Kolkata,391311.25866763457
3,2401,4,2,38,157232,Kolkata,430660.73736058467
4,3432,2,4,38,511973,Kolkata,574698.2860551347
0,4791,2,1,60,408732,Kolkata,509843.502251116
0,4536,3,2,20,581898,Kolkata,550309.6618772432
2,4293,3,1,44,108058,Kolkata,494327.22189276706
1,3846,3,4,63,450532,Kolkata,574919.2616563906
4,4746,3,1,50,441798,Kolkata,528200.6288503489
4,3412,3,0,22,267814,Kolkata,421773.165958326
0,3119,2,4,54,224063,Kolkata,528437.8447646484
2,4311,4,2,9,172195,Kolkata,555189.5137955276
0,3551,3,2,15,288052,Kolkata,497202.4709517888
0,2437,4,3,48,170377,Kolkata,454857.03057756135
1,1126,4,2,20,486301,Kolkata,351367.116712118
2,2510,1,3,35,773695,Kolkata,468231.0686603295
1,2620,1,0,67,579057,Kolkata,340324.4613244247
2,4598,0,2,60,300032,Kolkata,543852.2250828729
4,4319,1,4,34,147501,Kolkata,627014.0598994453
3,1481,3,3,54,418021,Kolkata,404768.2236985147
3,2335,4,2,12,114538,Kolkata,442545.66382970265
2,4515,0,0,19,740147,Kolkata,477490.66703532374
3,1282,1,4,26,472956,Kolkata,444686.41981753404
0,4073,2,4,23,628057,Kolkata,601293.1826979343
4,3121,0,0,33,918018,Kolkata,394292.67160438927
4,4135,3,2,57,971983,Kolkata,523234.3126096319
3,3820,4,1,30,724902,Kolkata,479241.58599690004
2,3394,3,2,23,954311,Kolkata,493658.5179936861
0,3044,3,3,36,152219,Kolkata,498180.7963012743
2,3371,2,3,43,921539,Kolkata,517355.0829353522
3,1238,2,2,66,493899,Kolkata,338690.62423673103
4,2420,4,3,53,715275,Kolkata,467378.549423009
4,3384,1,1,60,428734,Kolkata,440677.41269942996
2,1340,3,1,37,947529,Kolkata,317691.72211558477
1,4350,1,4,61,320203,Kolkata,602752.7907241809
2,4424,4,3,53,818762,Kolkata,579654.8292405849
1,3993,3,2,12,217290,Kolkata,526897.8762919945
2,1891,1,4,35,317006,Kolkata,469503.6853607949
1,2486,3,1,67,516901,Kolkata,369172.5740044268
1,1461,2,4,38,952316,Kolkata,441521.82933903934
1,4784,2,0,24,456570,Kolkata,485267.67731445923
1,2316,0,3,40,509578,Kolkata,453103.08794034127
0,1797,4,2,65,461470,Kolkata,370427.830830911
1,1732,1,1,57,100503,Kolkata,328479.11372150603
1,4478,3,4,45,796405,Kolkata,622638.9743118134
4,1161,0,2,13,603034,Kolkata,364201.6216028381
0,4574,4,3,6,900008,Kolkata,603156.8434266291
1,3495,4,2,47,919722,Kolkata,481042.19092319935
3,4766,4,3,44,291567,Kolkata,608783.114797653
0,2478,1,3,32,898316,Kolkata,456283.96960025583
4,4956,2,3,3,544876,Kolkata,641251.8590109803
2,3312,0,4,54,754325,Kolkata,548976.8015920949
4,2009,1,3,38,780565,Kolkata,447016.395037902
4,1131,3,2,4,950171,Kolkata,374425.81398980645
0,2857,1,0,17,746399,Kolkata,370723.2488364589
0,3167,3,2,37,887700,Kolkata,456873.36409526464
3,2915,3,4,36,953144,Kolkata,542097.7688559846
3,2242,4,3,58,511232,Kolkata,451038.2923530622
0,4488,1,0,41,161939,Kolkata,460917.51447050483
0,1671,2,4,8,178281,Kolkata,466408.51283737266
0,1504,3,1,67,308569,Kolkata,308572.4783480296
2,4371,4,1,30,988349,Kolkata,511918.4954063402
4,3156,2,1,52,797072,Kolkata,425657.97899816325
3,2261,1,0,25,227744,Kolkata,345049.407924456
3,1292,2,2,52,204894,Kolkata,355955.47920728876
1,3010,1,0,59,348160,Kolkata,364525.16342549556
2,4035,3,0,30,499984,Kolkata,446232.6141582589
0,4650,0,0,67,290286,Kolkata,450532.8555036016
0,1827,0,1,4,512188,Kolkata,358554.4462994261
2,1186,3,2,57,591841,Kolkata,343797.8803323308
3,2059,2,0,63,304234,Kolkata,316605.11787932983
0,4632,1,2,32,687700,Kolkata,550876.892278498
1,3303,0,3,51,276353,Kolkata,504038.54087379994
3,2458,1,0,63,783763,Kolkata,336966.58832042926
4,2642,3,0,1,194568,Kolkata,388418.64538085106
2,2031,2,0,19,392370,Kolkata,329839.38444575836
3,3795,1,3,35,936417,Kolkata,554163.8857583842
4,2201,2,3,63,784143,Kolkata,446265.80403179105
1,4313,0,1,26,567155,Kolkata,496065.48403608415
2,3088,1,4,13,994184,Kolkata,551625.5119117647
0,4428,4,2,23,588371,Kolkata,547328.2601017341
0,3804,0,4,35,608062,Kolkata,580276.2442384296
4,3160,2,0,12,299227,Kolkata,407298.93005860137
3,4948,3,0,9,622100,Kolkata,518333.72667672735
1,3815,4,1,67,166883,Kolkata,448637.2464475357
4,4237,1,4,44,221501,Kolkata,618636.8763988286
1,4575,0,0,61,914220,Kolkata,457514.96462890046
1,1853,1,4,21,723502,Kolkata,475826.3296351959
1,3125,1,1,7,107166,Kolkata,433058.40496941365
2,1718,4,4,11,528435,Kolkata,479713.745380398
4,2846,4,2,45,820801,Kolkata,455970.31550860894
2,1877,4,1,32,996731,Kolkata,355939.277684833
3,4267,4,4,36,362547,Kolkata,623670.0189495318
3,1401,3,0,37,568785,Kolkata,290481.3724613833
0,3880,2,3,41,127224,Kolkata,538322.7335408356
0,1063,4,3,49,838970,Kolkata,368700.424626678
0,3699,0,1,15,103485,Kolkata,464838.42508319515
3,3933,1,3,13,474199,Kolkata,571429.9781543608
1,2448,4,2,53,437128,Kolkata,416743.5046156442
1,4113,0,1,33,689779,Kolkata,480308.6595571995
4,1372,3,0,32,579424,Kolkata,294197.68330178404
3,1305,0,0,48,965378,Kolkata,276737.8642632134
0,3256,0,1,68,376406,Kolkata,413995.86585928645
3,3514,3,3,57,979728,Kolkata,524631.6262099803
1,1931,3,3,62,568586,Kolkata,421614.172357301
1,4375,1,0,2,591031,Kolkata,478209.76316026575
2,2990,4,2,16,521144,Kolkata,468502.6122666701
2,4656,0,3,8,883335,Kolkata,614958.2570170477
4,2415,2,2,19,294251,Kolkata,441801.28717374406
3,4224,2,3,32,870570,Kolkata,579589.7285978842
2,3694,1,1,67,841725,Kolkata,444056.5424278465
2,1361,2,4,32,581595,Kolkata,442932.2107987827
3,2287,1,0,25,228716,Kolkata,344229.9755959816
1,4287,4,1,53,221774,Kolkata,484813.9519130551
4,3768,1,3,25,396856,Kolkata,559479.2450088569
4,1715,3,0,33,578707,Kolkata,315625.374875231
4,2645,3,4,31,658616,Kolkata,528104.5074299013
2,1542,3,4,36,262704,Kolkata,452129.66468936705
1,2547,3,3,49,923947,Kolkata,463832.68995530315
4,2662,3,0,44,424218,Kolkata,362490.998793335
3,4896,3,3,48,303762,Kolkata,613248.2600816679
4,3241,3,4,30,296019,Kolkata,565920.6217173887
0,1651,3,1,13,521386,Kolkata,340284.1081888915
1,2050,3,1,43,933289,Kolkata,357443.2608240157
0,2069,4,2,16,936176,Kolkata,407017.9608461088
1,1646,3,4,26,983131,Kolkata,462810.0970190011
3,2852,1,4,47,832981,Kolkata,528229.0083721571
2,4001,4,3,37,323852,Kolkata,560137.3789823903
2,2081,2,2,3,105327,Kolkata,421293.5105198903
1,4084,0,2,26,816606,Kolkata,526523.9415298302
4,1948,4,0,15,182675,Kolkata,341063.64505455026
0,4683,3,3,66,322483,Kolkata,580166.1422264562
3,1960,4,1,28,395408,Kolkata,366421.93669920263
4,3096,0,0,38,440740,Kolkata,390825.21396553615
2,1802,0,2,44,774165,Kolkata,381923.16539258364
4,4165,3,1,53,855262,Kolkata,490099.5196223649
0,3654,3,4,4,653143,Kolkata,587731.2199387156
2,2680,1,3,44,890559,Kolkata,473869.1453142604
1,2607,0,2,46,221704,Kolkata,427371.23768468515
3,4522,3,4,26,400463,Kolkata,643041.5596608914
3,2402,0,2,13,955558,Kolkata,437666.32517128024
2,3057,1,1,69,899405,Kolkata,408437.49531484337
1,3721,2,0,44,313453,Kolkata,416442.10115831846
0,1725,0,1,53,596486,Kolkata,322767.13063634443
3,3563,1,3,51,279159,Kolkata,528571.1900333192
2,3271,1,3,13,550927,Kolkata,529720.7414999714
3,2404,1,2,41,127281,Kolkata,424018.7042850164
1,4612,4,1,11,247621,Kolkata,525833.3399953725
0,4373,3,0,37,226566,Kolkata,456324.8183359249
1,1202,0,3,60,947858,Kolkata,373559.56517537154
4,1941,4,0,32,651911,Kolkata,329581.5697382549
1,1588,0,4,45,855392,Kolkata,444707.76784896216
1,1570,4,2,18,713904,Kolkata,379606.68878040405
3,4004,3,0,20,235769,Kolkata,451853.77608508326
1,1195,1,2,44,377874,Kolkata,339328.5016450078
2,2345,0,4,36,259317,Kolkata,496489.6348834807
3,1417,1,0,69,131313,Kolkata,272776.75676078245
3,2642,3,0,37,839453,Kolkata,365431.54076808627
4,2365,0,4,33,952005,Kolkata,508179.14750266314
2,4460,2,1,19,153595,Kolkata,513350.0340818293
1,1008,2,0,51,654196,Kolkata,251255.67466052927
4,1531,2,0,32,992222,Kolkata,304194.8561480816
2,1148,3,3,22,926080,Kolkata,398325.9175125169
4,3430,2,1,1,485757,Kolkata,468398.1364318396
0,2552,0,0,54,661577,Kolkata,335150.23905821826
1,2035,2,4,20,293782,Kolkata,487203.15773346374
4,1475,0,2,58,239911,Kolkata,365301.1517911306
0,2617,3,4,35,196541,Kolkata,510821.978050417
1,3626,1,1,61,824198,Kolkata,438559.64993203315
4,4716,4,3,63,763871,Kolkata,598650.9167261026
4,2979,2,3,61,186527,Kolkata,496594.10587381443
4,2076,4,3,57,754856,Kolkata,444819.08460270433
4,4507,1,4,3,466816,Kolkata,651303.8860731982
3,1205,3,2,45,995481,Kolkata,356212.9347142603
4,4033,3,2,15,755160,Kolkata,543791.0945257364
3,3962,1,0,17,241020,Kolkata,453544.99732565397
3,1744,4,2,15,668926,Kolkata,403408.6247678246
0,1912,2,2,5,849250,Kolkata,400363.2043768524
1,1053,0,0,46,761233,Kolkata,252840.0099033403
3,4049,3,4,11,786821,Kolkata,621646.9884021282
2,2603,1,4,64,304106,Kolkata,498491.39198755147
3,4561,4,1,14,451236,Kolkata,528315.2272684292
2,2826,2,4,39,591358,Kolkata,529546.7964672898
0,1343,4,3,67,127091,Kolkata,380725.37659247924
2,2192,2,3,55,957603,Kolkata,446756.438058528
0,2932,0,1,42,808359,Kolkata,402399.22680177493
0,2184,0,2,5,879177,Kolkata,413174.10933398927
0,4598,1,1,52,919964,Kolkata,498577.734843802
2,1702,1,0,22,515906,Kolkata,309806.91979261726
2,3574,2,1,44,379180,Kolkata,449711.80256023013
0,2310,2,1,59,407184,Kolkata,359303.49158344464
0,2898,2,3,25,549412,Kolkata,490095.804463024
1,3459,2,0,21,275634,Kolkata,413426.19031163317
0,4593,0,0,64,896753,Kolkata,453069.2311647061
4,3616,1,1,68,129152,Kolkata,446319.8509233162
1,1198,1,0,47,710172,Kolkata,260336.14884229426
1,4232,3,0,35,448675,Kolkata,450061.01612433564
1,3822,1,4,7,417055,Kolkata,595100.7568923977
4,1388,1,0,56,976730,Kolkata,278756.03339574765
1,1473,4,2,52,493361,Kolkata,354834.2739511428
1,2404,4,0,46,694925,Kolkata,339107.1592436696
2,1764,3,3,9,235319,Kolkata,442365.750263311
2,2654,2,4,58,431868,Kolkata,507642.4214536548
0,1591,3,3,23,590526,Kolkata,415369.3917182736
0,4195,3,3,3,818649,Kolkata,583341.9993215832
3,2848,0,2,61,536763,Kolkata,441947.5640815168
4,2095,1,4,9,620108,Kolkata,510209.39721868874
2,1981,0,1,53,861904,Kolkata,348878.8249214755
0,4041,1,0,68,605710,Kolkata,420365.2706669534
4,1167,3,2,49,512929,Kolkata,352710.2399379712
1,1283,1,2,48,668837,Kolkata,345741.00308369205
4,4565,2,1,7,274620,Kolkata,537757.3681296351
2,4107,2,2,31,545849,Kolkata,530024.3064263464
3,3871,3,1,56,982843,Kolkata,466044.156548163
2,2198,4,1,61,321958,Kolkata,359731.9377681492
0,4270,2,1,5,497857,Kolkata,503849.55115716695
0,4187,3,2,30,433239,Kolkata,523439.8585190693
4,4386,0,1,22,477481,Kolkata,515544.9392425764
2,2243,4,2,17,529032,Kolkata,424115.32295809255
0,1890,2,4,10,626311,Kolkata,477247.3074765325
1,4649,3,1,68,518872,Kolkata,498382.5347014806
1,4848,3,2,42,580469,Kolkata,566415.8179347432
3,3181,0,2,27,659130,Kolkata,478253.35925610136
4,2654,0,2,7,155189,Kolkata,459845.9050494201
0,1121,4,0,23,490262,Kolkata,266993.24725141184
3,1832,2,0,8,866098,Kolkata,329989.39668495604
1,2922,3,1,8,408067,Kolkata,428121.2971950269
3,2021,4,4,5,397224,Kolkata,502537.7173496097
3,2993,4,1,2,103474,Kolkata,445289.4934913037
0,4492,0,3,51,225185,Kolkata,571640.91370475
0,1894,3,3,66,572923,Kolkata,412049.40504847583
0,2515,1,4,12,758620,Kolkata,512751.5627595862
4,4670,0,4,47,105618,Kolkata,639913.579534435
3,1288,3,4,55,801125,Kolkata,431525.9669505673
3,4720,4,0,26,881550,Kolkata,495575.1837132984
4,2076,4,0,45,265190,Kolkata,330812.4389942445
1,4276,2,3,62,764645,Kolkata,557454.5225706575
2,2371,1,4,2,335424,Kolkata,519392.8981008487
1,2074,0,2,26,419227,Kolkata,407025.90211243083
4,1838,2,3,14,304749,Kolkata,447959.8479331132
3,4993,2,4,57,259424,Kolkata,651645.4828748399
3,3959,1,2,32,537272,Kolkata,522556.1337637192
0,1039,0,4,62,910139,Kolkata,402096.46952000604
0,3297,0,1,30,253233,Kolkata,429943.37544712104
3,3265,4,2,13,511866,Kolkata,497083.7018652306
3,1178,0,1,40,379088,Kolkata,308565.88272334175
0,4622,2,0,31,893978,Kolkata,472196.0971326868
0,1182,4,3,37,678427,Kolkata,381017.47986093425
1,2759,0,4,45,213857,Kolkata,513167.706099074
3,2187,1,3,59,369351,Kolkata,442293.19814420305
3,2769,2,4,28,719092,Kolkata,534680.3882425586
4,2400,3,1,61,827382,Kolkata,382981.46395454736
1,1704,1,2,19,393366,Kolkata,384341.34137926274
2,1496,1,2,43,970735,Kolkata,366101.2878224894
2,1596,0,4,59,794275,Kolkata,439581.7858351532
2,3508,4,1,16,634305,Kolkata,464499.7069881581
0,4826,4,4,69,246166,Kolkata,629680.7646032389
2,1473,2,4,44,655524,Kolkata,446455.0496847909
4,1684,0,4,66,500880,Kolkata,454112.128860799
0,4976,4,2,10,392065,Kolkata,585377.2328853402
0,2060,3,4,47,457525,Kolkata,471653.4242493889
2,2622,0,2,19,966541,Kolkata,443626.04000021104
0,2664,0,0,51,950022,Kolkata,342248.9826532595
1,4777,4,1,13,895822,Kolkata,534632.6738033008
1,1318,1,0,63,526993,Kolkata,261143.33713968555
2,4626,0,4,16,803948,Kolkata,646395.6006748793
4,2435,1,2,53,486795,Kolkata,426570.59533739544
0,3403,2,1,35,535883,Kolkata,437464.23583110835
3,2694,2,3,59,491685,Kolkata,475902.15865250595
2,3664,4,1,39,654268,Kolkata,458851.45058025187
0,2988,2,1,67,741248,Kolkata,398626.87584688846
2,1228,4,4,61,856276,Kolkata,422697.4937625692
2,1728,4,0,50,163470,Kolkata,294582.49194310576
4,2287,1,0,53,434906,Kolkata,334941.01979249873
3,2510,1,3,46,974415,Kolkata,469753.3606944885
0,1560,2,4,52,464789,Kolkata,437764.4086726274
2,2375,1,1,29,773286,Kolkata,381115.97550693457
2,2465,0,0,5,117621,Kolkata,361830.3128417831
0,3682,3,0,67,957677,Kolkata,398673.4629712758
2,3506,0,2,40,224604,Kolkata,484417.13214415516
2,4886,0,1,2,440920,Kolkata,549289.0288849882
2,1024,4,4,68,135031,Kolkata,407172.341296639
1,2154,3,0,62,394290,Kolkata,309337.8368674127
1,1369,4,4,58,608186,Kolkata,430530.1502161221
3,2459,1,1,69,894430,Kolkata,374389.6346998291
4,4295,1,1,58,214619,Kolkata,496727.1184219846
0,2011,3,0,35,569564,Kolkata,312430.1080510508
4,1610,2,3,14,217974,Kolkata,435133.9146739561
4,2375,1,4,15,393245,Kolkata,522131.9868719314
1,2825,0,4,6,885452,Kolkata,536668.7581897607
3,4556,3,2,16,441908,Kolkata,570421.4988327051
4,3035,3,1,46,517963,Kolkata,428213.6592183974
4,2220,1,1,63,473980,Kolkata,367327.5607463222
2,3156,1,0,12,816160,Kolkata,400029.74237166485
0,2883,4,0,41,719614,Kolkata,363185.4263751337
3,4291,4,0,19,364026,Kolkata,470517.8345665748
0,4847,0,2,2,270027,Kolkata,578441.6614480278
1,2946,3,3,20,839555,Kolkata,496005.0759331597
4,1719,2,0,9,159965,Kolkata,323525.88707421743
4,4390,2,0,21,737244,Kolkata,477510.07184655714
0,2105,3,0,8,319866,Kolkata,331323.91547549807
1,2560,0,2,39,844782,Kolkata,426471.4215808318
2,4769,4,4,37,272632,Kolkata,644700.4210147297
2,3479,4,3,29,655631,Kolkata,536645.7447224534
4,2920,4,4,35,349550,Kolkata,547527.1611524287
4,4079,2,1,38,970375,Kolkata,494459.09633298294
3,1635,2,1,35,215154,Kolkata,341545.54777879076
0,2172,0,0,68,497166,Kolkata,304735.59956551535
4,4169,2,4,3,234961,Kolkata,636286.3420211171
1,4799,1,2,12,587720,Kolkata,574678.3877824689
0,4172,2,3,32,643264,Kolkata,563186.7900921117
3,2753,4,4,47,385160,Kolkata,525919.3580997318
2,3414,0,4,63,830107,Kolkata,548929.9530664572
3,4533,3,3,26,778102,Kolkata,599838.6367816132
0,3972,3,4,43,909985,Kolkata,583059.2395517064
2,3461,0,4,44,818698,Kolkata,559812.881358637
1,4330,1,3,38,653620,Kolkata,569080.7767966684
2,2926,3,2,29,309697,Kolkata,458320.0220382872
2,1355,4,3,55,759796,Kolkata,396638.12502478494
1,3058,3,0,52,248159,Kolkata,368782.96756029257
4,2439,3,0,19,942134,Kolkata,364737.79957229504
4,2594,4,0,35,125428,Kolkata,368585.37835752533
2,4321,2,0,48,783514,Kolkata,450114.6623039834
2,2675,1,1,60,716333,Kolkata,391088.6584081167
3,2870,4,2,31,337012,Kolkata,460547.0587563051
4,4621,4,1,3,355739,Kolkata,546476.3053822967
1,2145,0,4,35,537963,Kolkata,483741.6842229918
2,4991,1,4,52,207369,Kolkata,649538.6937239446
2,3112,2,3,51,134349,Kolkata,493405.12624195876
3,4729,4,0,56,300565,Kolkata,477510.3950265057
3,4373,2,3,21,137358,Kolkata,595239.5003848858
3,1124,4,4,1,676772,Kolkata,454014.5665947239
0,1311,4,0,53,835809,Kolkata,261350.6941654399
1,4262,0,2,6,150837,Kolkata,544600.667004366
0,1774,3,4,62,699621,Kolkata,445548.0138841131
2,4049,1,3,47,369675,Kolkata,557275.6312970119
3,3920,0,3,50,113825,Kolkata,550376.7360395086
3,2473,2,4,31,434591,Kolkata,514136.639322657
3,2831,4,1,64,525532,Kolkata,403138.2166509963
4,1693,4,2,29,433411,Kolkata,393696.93918182334
1,2182,1,4,15,379423,Kolkata,496442.48046772205
0,2376,0,4,58,737382,Kolkata,483100.2131567067
1,2843,0,3,23,473903,Kolkata,489627.26237455907
3,1989,2,0,38,799583,Kolkata,321622.0899213016
2,3846,0,0,41,321024,Kolkata,425143.9616490165
4,3721,0,0,15,259072,Kolkata,440664.3387531165
1,4334,3,3,3,398443,Kolkata,594239.1153083683
2,2752,1,0,1,307274,Kolkata,380583.71095857123
3,3959,0,4,11,511461,Kolkata,612721.7454944236
3,3453,2,1,60,329174,Kolkata,433555.87145347084
3,4043,4,1,65,520555,Kolkata,475750.54481581727
3,2716,0,1,4,825748,Kolkata,422751.4025997025
4,2626,0,0,25,968382,Kolkata,368047.2376401402
4,4088,4,1,43,294891,Kolkata,490369.36626805784
1,3684,3,0,40,573033,Kolkata,415924.9529796939
3,4331,1,4,44,489031,Kolkata,617039.8564872621
4,1889,3,4,59,214074,Kolkata,469330.690066222
2,2378,2,3,23,736979,Kolkata,469795.7055488473
4,1488,0,3,62,521247,Kolkata,403898.1224419299
4,4285,3,2,23,771986,Kolkata,553235.7431356529
1,3286,1,4,58,647590,Kolkata,546932.657762435
4,1179,2,0,55,735565,Kolkata,271737.174958433
2,2442,3,2,33,802051,Kolkata,430490.751109909
3,2707,0,4,63,523328,Kolkata,512318.3767573058
0,4214,1,0,60,355450,Kolkata,432013.5177716585
1,3364,0,4,61,957479,Kolkata,544349.3068810683
2,2267,0,4,61,203812,Kolkata,481915.19076452
1,1231,2,0,69,301276,Kolkata,255461.67709087342
3,4755,1,4,21,303623,Kolkata,655241.7211237754
4,2812,4,4,3,328027,Kolkata,554554.8417862288
4,2612,0,4,48,228407,Kolkata,519076.1364805625
2,2326,1,3,10,991398,Kolkata,470640.01849581674
3,1330,0,1,42,621404,Kolkata,316910.1426053744
0,1560,3,4,66,524530,Kolkata,430103.7410597043
0,3996,3,0,46,562755,Kolkata,429257.2340640989
4,1247,1,4,9,753594,Kolkata,460663.7717469866
3,1282,2,3,49,781595,Kolkata,392644.61801430193
3,2310,4,3,4,291644,Kolkata,481890.2972827943
2,1939,3,4,60,919798,Kolkata,465647.55236044136
0,3079,2,2,29,413491,Kolkata,462496.3779892196
2,2523,4,1,47,657125,Kolkata,389152.7586570846
1,4741,3,0,63,894571,Kolkata,470340.37824482686
3,1529,4,0,31,240657,Kolkata,300824.27139439323
0,1380,0,0,51,365803,Kolkata,263630.452027148
2,1062,1,0,41,978193,Kolkata,258859.97046356223
4,1127,3,3,36,629922,Kolkata,397043.9611926387
1,2551,3,1,40,216969,Kolkata,388994.1654830184
2,3210,0,4,60,991558,Kolkata,537831.5776608093
4,4005,3,4,15,627970,Kolkata,623830.119151665
0,4322,3,2,30,825458,Kolkata,537202.4438634292
0,4720,3,4,30,997917,Kolkata,635032.1869415824
1,4901,3,1,27,175038,Kolkata,535314.1954080883
4,1294,3,4,40,498629,Kolkata,442580.5650690657
3,1178,2,3,45,121984,Kolkata,393992.5652322543
0,1228,3,4,47,882469,Kolkata,416741.31935009337
3,1882,0,0,56,382631,Kolkata,305757.48382890946
3,1393,3,0,54,102075,Kolkata,279826.64879525715
2,3739,4,0,9,526766,Kolkata,441467.81423487933
2,4467,4,0,65,185726,Kolkata,456165.5221137529
0,1071,0,3,1,459943,Kolkata,395898.64937561215
3,1317,2,3,13,666581,Kolkata,416355.86093370663
2,4970,0,3,38,570661,Kolkata,611523.8138941615
4,1594,2,4,45,260284,Kolkata,461948.4323233503
4,1378,1,0,40,901394,Kolkata,288086.3066612113
4,1906,4,2,15,771213,Kolkata,417671.82677505934
4,1135,4,2,50,412353,Kolkata,350465.84133048187
3,3777,4,0,2,835271,Kolkata,447495.3406368504
4,4692,2,1,53,340969,Kolkata,518517.24593974993
3,2401,0,4,26,954077,Kolkata,513182.7920865375
0,4990,2,2,66,553717,Kolkata,557994.3566968166
0,2142,4,3,33,488820,Kolkata,442836.1048748647
4,1905,4,1,59,877331,Kolkata,347459.80004193325
4,1529,4,3,26,166856,Kolkata,428939.34961878846
4,4915,4,1,21,475162,Kolkata,548324.9518139552
0,3982,1,1,49,615753,Kolkata,467767.8223033711
2,3713,4,4,66,443667,Kolkata,566889.1715060476
0,1522,2,3,37,661473,Kolkata,402848.15364266286
